IDS,
                 Avg Depth,  0.0 ,
                 Runs,  16 ,
        Depth,  3 ,
                 Avg Solutions,  1.0 ,
                 Avg Time,  0.0059743523597717285 ,
                 Avg Expanded,  38.625 ,
                 Avg Added,  126.875 ,
                 Avg Depth,  0.0 ,
                 Runs,  16 ,
        Depth,  4 ,
                 Avg Solutions,  1.0 ,
                 Avg Time,  0.014866088998728785 ,
                 Avg Expanded,  135.58620689655172 ,
                 Avg Added,  441.55172413793105 ,
                 Avg Depth,  0.0 ,
                 Runs,  29 ,
        Depth,  5 ,
                 Avg Solutions,  1.0 ,
                 Avg Time,  0.0354505011013576 ,
                 Avg Expanded,  394.9642857142857 ,
                 Avg Added,  1280.25 ,
                 Avg Depth,  0.0 ,
                 Runs,  28 ,
        Depth,  6 ,
                 Avg Solutions,  1.0 ,
                 Avg Time,  0.08783532381057739 ,
                 Avg Expanded,  1078.25 ,
                 Avg Added,  3491.55 ,
                 Avg Depth,  0.0 ,
                 Runs,  20 ,
        Depth,  7 ,
                 Avg Solutions,  1.0 ,
                 Avg Time,  0.26744695504506427 ,
                 Avg Expanded,  3461.1111111111113 ,
                 Avg Added,  11200.555555555555 ,
                 Avg Depth,  0.0 ,
                 Runs,  18 ,
        Depth,  8 ,
                 Avg Solutions,  1.0 ,
                 Avg Time,  1.073739643096924 ,
                 Avg Expanded,  13670.88 ,
                 Avg Added,  44243.64 ,
                 Avg Depth,  0.0 ,
                 Runs,  25 ,
        Depth,  9 ,
                 Avg Solutions,  1.0 ,
                 Avg Time,  2.882074475288391 ,
                 Avg Expanded,  36246.833333333336 ,
                 Avg Added,  117298.125 ,
                 Avg Depth,  0.0 ,
                 Runs,  24 ,
        Depth,  10 ,
                 Avg Solutions,  0.875 ,
                 Avg Time,  10.830652293704805 ,
                 Avg Expanded,  119144.625 ,
                 Avg Added,  385561.6666666667 ,
                 Avg Depth,  0.0 ,
                 Runs,  24 ,
        Depth,  11 ,
        Depth,  12 ,
        Depth,  13 ,
        Depth,  14 ,
        Depth,  15 ,
        Depth,  16 ,
        Depth,  17 ,
DFS,
        Depth,  1 ,
                 Avg Solutions,  1.0 ,
                 Avg Time,  1.4426143487294516 ,
                 Avg Expanded,  16496.2 ,
                 Avg Added,  52209.0 ,
                 Avg Depth,  16496.2 ,
                 Runs,  15 ,
        Depth,  2 ,
                 Avg Solutions,  0.9375 ,
                 Avg Time,  2.4083704153696694 ,
                 Avg Expanded,  33442.75 ,
                 Avg Added,  105923.8125 ,
                 Avg Depth,  33442.75 ,
                 Runs,  16 ,
        Depth,  3 ,
                 Avg Solutions,  1.0 ,
                 Avg Time,  1.7498552650213242 ,
                 Avg Expanded,  19537.125 ,
                 Avg Added,  61854.0625 ,
                 Avg Depth,  19537.125 ,
                 Runs,  16 ,
        Depth,  4 ,
                 Avg Solutions,  0.9655172413793104 ,
                 Avg Time,  3.1550136038235257 ,
                 Avg Expanded,  38428.10344827586 ,
                 Avg Added,  121705.3448275862 ,
                 Avg Depth,  38428.10344827586 ,
                 Runs,  29 ,
        Depth,  5 ,
        Depth,  6 ,
        Depth,  7 ,
        Depth,  8 ,
        Depth,  9 ,
        Depth,  10 ,
        Depth,  11 ,
        Depth,  12 ,
        Depth,  13 ,
        Depth,  14 ,
        Depth,  15 ,
        Depth,  16 ,
        Depth,  17 ,
SDFS,
        Depth,  1 ,
                 Avg Solutions,  0.5333333333333333 ,
                 Avg Time,  0.32192692160606384 ,
                 Avg Expanded,  4444.733333333334 ,
                 Avg Added,  13829.4 ,
                 Avg Depth,  4215.6 ,
                 Runs,  15 ,
        Depth,  2 ,
                 Avg Solutions,  0.75 ,
                 Avg Time,  0.7203980882962545 ,
                 Avg Expanded,  3067.9375 ,
                 Avg Added,  9555.9375 ,
                 Avg Depth,  2906.25 ,
                 Runs,  16 ,
        Depth,  3 ,
                 Avg Solutions,  0.6875 ,
                 Avg Time,  1.4158690842715176 ,
                 Avg Expanded,  4104.375 ,
                 Avg Added,  12775.8125 ,
                 Avg Depth,  3892.6875 ,
                 Runs,  16 ,
        Depth,  4 ,
                 Avg Solutions,  0.5172413793103449 ,
                 Avg Time,  2.7712138334910077 ,
                 Avg Expanded,  6020.482758620689 ,
                 Avg Added,  18724.58620689655 ,
                 Avg Depth,  5714.517241379311 ,
                 Runs,  29 ,
        Depth,  5 ,
        Depth,  6 ,
        Depth,  7 ,
        Depth,  8 ,
        Depth,  9 ,
        Depth,  10 ,
        Depth,  11 ,
        Depth,  12 ,
        Depth,  13 ,
        Depth,  14 ,
        Depth,  15 ,
        Depth,  16 ,
        Depth,  17 ,
